set_id,draw_order,semantic_control_indices,episodic_control_indices,semantic_control_labels,episodic_control_labels,mean_standardized_match_distance
51,episodic_first,72;288;152;338;75;349;81;358;93;297;274;118;4,27;268;76;250;101;320;169;319;55;266;175;317;25;229;36;194;257;255;233,L_8C;R_MI;L_VMV1;R_LO3;L_47l;R_p10p;L_IFSa;R_a32pr;L_47s;R_EC;R_LIPd;L_PreS;L_V3,L_STV;R_a10p;L_a47r;R_9p;L_OP2-3;R_TPOJ3;L_p10p;R_TPOJ2;L_6v;R_9a;L_STSva;R_PH;L_SFL;R_MIP;L_5mv;R_POS2;R_6r;R_47l;R_6d,0.9622897915047931
52,semantic_first,144;317;111;197;125;359;84;205;20;269;198;75;24,166;358;5;309;47;339;140;251;139;274;146;325;36;235;107;224;293;219;188,L_IP1;R_PH;L_AAIC;R_FFC;L_PHA1;R_p24;L_a9-46v;R_SFL;L_LO2;R_10pp;R_V3B;L_47l;L_PSL,L_PoI1;R_a32pr;L_V4;R_STSvp;L_LIPv;R_VMV2;L_TPOJ3;R_10d;L_TPOJ2;R_LIPd;L_PFop;R_IP0;L_5mv;R_6v;L_FOP4;R_7Am;R_FOP3;R_24dd;R_3b,0.9698702119038576
53,episodic_first,96;196;158;198;154;202;82;230;165;338;273;11;74,129;287;5;306;113;347;55;266;167;228;145;250;54;235;48;188;317;272;257,L_i6-8;R_IPS1;L_LO3;R_V3B;L_PHA2;R_MT;L_p9-46v;R_1;L_pOFC;R_LO3;R_47s;L_55b;L_45,L_STSvp;R_FOP4;L_V4;R_PHA3;L_FOP3;R_Ig;L_6v;R_9a;L_Ig;R_VIP;L_IP0;R_9p;L_6mp;R_6v;L_VIP;R_3b;R_PH;R_OFC;R_6r,1.0103940179722208
54,semantic_first,143;277;15;200;84;359;39;317;6;297;278;99;90,12;347;16;300;79;273;18;295;97;355;86;196;156;346;147;328;207;268;205,L_IP2;R_s6-8;L_V7;R_LO2;L_a9-46v;R_p24;L_24dd;R_PH;L_V8;R_EC;R_43;L_OP4;L_11l,L_V3A;R_Ig;L_IPS1;R_ProS;L_IFJp;R_47s;L_V3B;R_PFt;L_s6-8;R_STSva;L_9a;R_IPS1;L_FST;R_PoI1;L_PF;R_PFm;R_STV;R_a10p;R_SFL,0.9659331155125577
55,episodic_first,59;208;158;241;22;272;81;229;19;332;218;118;4,9;336;91;225;104;339;79;286;2;357;48;274;50;232;8;226;266;200;261,L_p32pr;R_7Pm;L_LO3;R_d32;L_MT;R_OFC;L_IFSa;R_MIP;L_LO1;R_VMV1;R_5L;L_PreS;L_V3,L_FEF;R_FST;L_13l;R_7PL;L_PFcm;R_VMV2;L_IFJp;R_TA2;L_V6;R_PI;L_VIP;R_LIPd;L_1;R_3a;L_3b;R_7PC;R_9a;R_LO2;R_IFSa,0.8524649868171829
56,semantic_first,96;256;97;359;121;199;136;210;35;236;198;78;76,143;254;114;309;139;331;167;326;113;295;59;358;30;308;41;252;208;272;257,L_i6-8;R_a47r;L_s6-8;R_p24;L_PeEc;R_LO1;L_PHT;R_POS1;L_5m;R_p24pr;R_V3B;L_IFJa;L_a47r,L_IP2;R_45;L_FOP2;R_STSvp;L_TPOJ2;R_V6A;L_Ig;R_PFop;L_FOP3;R_PFt;L_p32pr;R_a32pr;L_POS1;R_STSdp;L_7AL;R_8C;R_7Pm;R_OFC;R_6r,0.9645448538438435
57,episodic_first,77;265;140;197;19;268;69;288;118;333;207;61;137,146;280;16;286;108;195;55;357;94;269;175;278;3;235;129;319;189;336;227,L_6r;R_9-46d;L_TPOJ3;R_FFC;L_LO1;R_a10p;L_8BL;R_MI;L_PreS;R_VMV3;R_STV;L_d32;L_PH,L_PFop;R_OP1;L_IPS1;R_TA2;L_MI;R_V7;L_6v;R_PI;L_LIPd;R_10pp;L_STSva;R_43;L_V2;R_6v;L_STSvp;R_TPOJ2;R_FEF;R_FST;R_LIPv,0.8324458811092349
58,semantic_first,129;228;63;337;11;338;116;358;22;236;198;118;101,73;241;104;357;128;347;48;226;139;205;18;309;30;285;80;208;217;336;252,L_STSvp;R_VIP;L_p32;R_V3CD;L_55b;R_LO3;L_AIP;R_a32pr;L_MT;R_p24pr;R_V3B;L_PreS;L_OP2-3,L_44;R_d32;L_PFcm;R_PI;L_STSdp;R_Ig;L_VIP;R_7PC;L_TPOJ2;R_SFL;L_V3B;R_STSvp;L_POS1;R_PoI2;L_IFSp;R_7Pm;R_23c;R_FST;R_8C,0.9993681362729538
59,episodic_first,73;317;22;349;164;245;69;189;121;332;218;20;74,80;180;156;195;27;274;140;302;146;232;157;227;36;235;37;188;266;337;257,L_44;R_PH;L_MT;R_p10p;L_s32;R_47m;L_8BL;R_FEF;L_PeEc;R_VMV1;R_5L;L_LO2;L_45,L_IFSp;R_V1;L_FST;R_V7;L_STV;R_LIPd;L_TPOJ3;R_STGa;L_PFop;R_3a;L_V3CD;R_LIPv;L_5mv;R_6v;L_23c;R_3b;R_9a;R_V3CD;R_6r,0.8740207234045245
60,semantic_first,43;222;122;197;121;331;57;254;165;342;215;75;177,138;180;116;323;94;269;105;309;79;319;70;225;38;230;8;285;221;337;253,L_6ma;R_SCEF;L_STGa;R_FFC;L_PeEc;R_V6A;L_33pr;R_45;L_pOFC;R_VVC;R_5m;L_47l;L_PI,L_TPOJ1;R_V1;L_AIP;R_IP2;L_LIPd;R_10pp;L_PoI2;R_STSvp;L_IFJp;R_TPOJ2;L_9p;R_7PL;L_5L;R_1;L_3b;R_PoI2;R_7AL;R_V3CD;R_44,0.8702052650247566
61,episodic_first,107;256;91;264;75;198;72;275;21;334;349;1;16,55;292;4;326;24;347;105;295;146;205;94;207;115;229;54;231;233;201;228,L_FOP4;R_a47r;L_13l;R_a9-46v;L_47l;R_V3B;L_8C;R_6a;L_PIT;R_PHA2;R_p10p;L_MST;L_IPS1,L_6v;R_FOP1;L_V3;R_PFop;L_PSL;R_Ig;L_PoI2;R_PFt;L_PFop;R_SFL;L_LIPd;R_STV;L_PFt;R_MIP;L_6mp;R_2;R_6d;R_PIT;R_VIP,0.8578473889544935
62,semantic_first,136;291;139;201;84;273;82;257;58;195;251;1;115,129;182;16;326;27;286;179;309;157;218;59;317;46;217;30;323;293;289;308,L_PHT;R_AAIC;L_TPOJ2;R_PIT;L_a9-46v;R_47s;L_p9-46v;R_6r;L_a24pr;R_V7;R_10d;L_MST;L_PFt,L_STSvp;R_V6;L_IPS1;R_PFop;L_STV;R_TA2;L_p24;R_STSvp;L_V3CD;R_5L;L_p32pr;R_PH;L_7PC;R_23c;L_POS1;R_IP2;R_FOP3;R_Pir;R_STSdp,0.921591778962338
63,episodic_first,73;250;18;350;91;339;11;237;92;190;320;99;16,45;182;169;317;143;185;140;323;15;208;38;358;137;217;52;187;227;289;263,L_44;R_9p;L_V3B;R_p47r;L_13l;R_VMV2;L_55b;R_33pr;L_OFC;R_PEF;R_TPOJ3;L_OP4;L_IPS1,L_7PL;R_V6;L_p10p;R_PH;L_IP2;R_V4;L_TPOJ3;R_IP2;L_V7;R_7Pm;L_5L;R_a32pr;L_PH;R_23c;L_3a;R_4;R_LIPv;R_Pir;R_46,0.9807156286478332
64,semantic_first,59;296;91;289;121;349;88;184;118;334;185;99;113,128;192;116;251;47;320;80;286;146;221;175;331;36;208;54;327;252;264;253,L_p32pr;R_AIP;L_13l;R_Pir;L_PeEc;R_p10p;L_a10p;R_V3;L_PreS;R_PHA2;R_V4;L_OP4;L_FOP3,L_STSdp;R_V3A;L_AIP;R_10d;L_LIPv;R_TPOJ3;L_IFSp;R_TA2;L_PFop;R_7AL;L_STSva;R_V6A;L_5mv;R_7Pm;L_6mp;R_PF;R_8C;R_a9-46v;R_44,0.9387298593710119
65,episodic_first,45;295;165;350;1;186;61;210;155;359;184;99;38,28;287;114;251;2;347;49;302;146;260;15;225;14;323;166;229;205;181;308,L_7PL;R_PFt;L_pOFC;R_p47r;L_MST;R_V8;L_d32;R_POS1;L_V4t;R_p24;R_V3;L_OP4;L_5L,L_7Pm;R_FOP4;L_FOP2;R_10d;L_V6;R_Ig;L_MIP;R_STGa;L_PFop;R_IFSp;L_V7;R_7PL;L_POS2;R_IP2;L_PoI1;R_MIP;R_SFL;R_MST;R_STSdp,1.0594533519617049
66,semantic_first,39;263;63;200;91;190;11;317;10;301;274;16;5,46;192;112;326;24;271;105;266;113;195;139;288;48;328;83;226;296;219;235,L_24dd;R_46;L_p32;R_LO2;L_13l;R_PEF;L_55b;R_PH;L_PEF;R_PeEc;R_LIPd;L_IPS1;L_V4,L_7PC;R_V3A;L_FOP1;R_PFop;L_PSL;R_13l;L_PoI2;R_9a;L_FOP3;R_V7;L_TPOJ2;R_MI;L_VIP;R_PFm;L_46;R_7PC;R_AIP;R_24dd;R_6v,0.9552467000810267
67,episodic_first,39;188;140;305;91;190;71;189;164;359;355;116;107,48;289;98;225;27;331;179;232;17;266;80;185;166;235;3;208;227;199;184,L_24dd;R_3b;L_TPOJ3;R_PHA1;L_13l;R_PEF;L_10d;R_FEF;L_s32;R_p24;R_STSva;L_AIP;L_FOP4,L_VIP;R_Pir;L_43;R_7PL;L_STV;R_V6A;L_p24;R_3a;L_FFC;R_9a;L_IFSp;R_V4;L_PoI1;R_6v;L_V2;R_7Pm;R_LIPv;R_LO1;R_V3,0.9656108104960088
68,semantic_first,57;250;63;201;125;273;91;355;159;269;225;75;177,12;287;104;232;94;339;157;286;38;296;27;317;43;285;148;217;321;337;275,L_33pr;R_9p;L_p32;R_PIT;L_PHA1;R_47s;L_13l;R_STSva;L_VMV2;R_10pp;R_7PL;L_47l;L_PI,L_V3A;R_FOP4;L_PFcm;R_3a;L_LIPd;R_VMV2;L_V3CD;R_TA2;L_5L;R_AIP;L_STV;R_PH;L_6ma;R_PoI2;L_PFm;R_23c;R_DVT;R_V3CD;R_6a,0.8684602683850953
69,episodic_first,12;277;164;200;168;301;84;254;162;332;251;90;114,45;280;3;357;169;347;48;355;105;250;146;300;41;218;8;235;278;268;296,L_V3A;R_s6-8;L_s32;R_LO2;L_FOP5;R_PeEc;L_a9-46v;R_45;L_VVC;R_VMV1;R_10d;L_11l;L_FOP2,L_7PL;R_OP1;L_V2;R_PI;L_p10p;R_Ig;L_VIP;R_STSva;L_PoI2;R_9p;L_PFop;R_ProS;L_7AL;R_5L;L_3b;R_6v;R_43;R_a10p;R_AIP,0.999291139508016
70,semantic_first,40;190;60;337;153;238;81;210;91;269;288;1;113,73;336;116;306;101;317;18;309;2;357;55;358;43;205;141;323;218;271;266,L_24dv;R_PEF;L_a24;R_V3CD;L_VMV3;R_a24pr;L_IFSa;R_POS1;L_13l;R_10pp;R_MI;L_MST;L_FOP3,L_44;R_FST;L_AIP;R_PHA3;L_OP2-3;R_PH;L_V3B;R_STSvp;L_V6;R_PI;L_6v;R_a32pr;L_6ma;R_SFL;L_DVT;R_IP2;R_5L;R_13l;R_9a,1.0316633040822065
71,episodic_first,107;261;157;186;71;337;3;210;22;339;227;116;72,175;292;16;326;101;250;113;232;2;300;45;225;43;217;54;194;296;192;188,L_FOP4;R_IFSa;L_V3CD;R_V8;L_10d;R_V3CD;L_V2;R_POS1;L_MT;R_VMV2;R_LIPv;L_AIP;L_8C,L_STSva;R_FOP1;L_IPS1;R_PFop;L_OP2-3;R_9p;L_FOP3;R_3a;L_V6;R_ProS;L_7PL;R_7PL;L_6ma;R_23c;L_6mp;R_POS2;R_AIP;R_V3A;R_3b,0.9328536139973943
72,semantic_first,83;266;97;186;154;264;84;249;121;338;273;116;107,44;347;113;228;156;342;167;295;86;309;140;288;166;230;95;218;285;192;233,L_46;R_9a;L_s6-8;R_V8;L_PHA2;R_a9-46v;L_a9-46v;R_8BL;L_PeEc;R_LO3;R_47s;L_AIP;L_FOP4,L_7Am;R_Ig;L_FOP3;R_VIP;L_FST;R_VVC;L_Ig;R_PFt;L_9a;R_STSvp;L_TPOJ3;R_MI;L_PoI1;R_1;L_6a;R_5L;R_PoI2;R_V3A;R_6d,1.0293624717366943
73,episodic_first,43;319;152;268;92;338;3;355;22;342;225;93;107,138;200;115;185;114;269;79;250;94;261;146;273;137;233;9;328;229;192;232,L_6ma;R_TPOJ2;L_VMV1;R_a10p;L_OFC;R_LO3;L_V2;R_STSva;L_MT;R_VVC;R_7PL;L_47s;L_FOP4,L_TPOJ1;R_LO2;L_PFt;R_V4;L_FOP2;R_10pp;L_IFJp;R_9p;L_LIPd;R_IFSa;L_PFop;R_47s;L_PH;R_6d;L_FEF;R_PFm;R_MIP;R_V3A;R_3a,0.9506881486552694
74,semantic_first,86;296;125;197;10;332;71;288;58;305;227;118;141,175;215;38;232;145;185;12;306;139;250;55;273;166;217;30;323;184;255;275,L_9a;R_AIP;L_PHA1;R_FFC;L_PEF;R_VMV1;L_10d;R_MI;L_a24pr;R_PHA1;R_LIPv;L_PreS;L_DVT,L_STSva;R_5m;L_5L;R_3a;L_IP0;R_V4;L_V3A;R_PHA3;L_TPOJ2;R_9p;L_6v;R_47s;L_PoI1;R_23c;L_POS1;R_IP2;R_V3;R_47l;R_6a,1.0456475732026078
75,episodic_first,5;263;111;298;82;320;40;348;118;243;215;1;78,80;280;113;250;128;185;94;235;145;225;48;273;107;252;41;194;218;220;228,L_V4;R_46;L_AAIC;R_PreS;L_p9-46v;R_TPOJ3;L_24dv;R_FOP5;L_PreS;R_p32;R_5m;L_MST;L_IFJa,L_IFSp;R_OP1;L_FOP3;R_9p;L_STSdp;R_V4;L_LIPd;R_6v;L_IP0;R_7PL;L_VIP;R_47s;L_FOP4;R_8C;L_7AL;R_POS2;R_5L;R_24dv;R_VIP,0.9999923454319023
76,semantic_first,128;317;140;241;164;268;71;196;153;306;207;1;47,73;202;53;225;175;325;18;300;49;221;108;274;166;233;107;187;288;320;184,L_STSdp;R_PH;L_TPOJ3;R_d32;L_s32;R_a10p;L_10d;R_IPS1;L_VMV3;R_PHA3;R_STV;L_MST;L_LIPv,L_44;R_MT;L_6d;R_7PL;L_STSva;R_IP0;L_V3B;R_ProS;L_MIP;R_7AL;L_MI;R_LIPd;L_PoI1;R_6d;L_FOP4;R_4;R_MI;R_TPOJ3;R_V3,0.9609386803274585
77,episodic_first,52;228;58;238;92;332;3;196;89;345;278;0;104,28;331;16;269;113;195;38;357;157;342;109;218;8;323;66;229;253;336;221,L_3a;R_VIP;L_a24pr;R_a24pr;L_OFC;R_VMV1;L_V2;R_IPS1;L_10pp;R_pOFC;R_43;L_V1;L_PFcm,L_7Pm;R_V6A;L_IPS1;R_10pp;L_FOP3;R_V7;L_5L;R_PI;L_V3CD;R_VVC;L_Pir;R_5L;L_3b;R_IP2;L_8Av;R_MIP;R_44;R_FST;R_7AL,0.9413474168956838
78,semantic_first,105;189;179;336;19;349;72;275;22;269;317;153;74,146;181;78;261;108;185;24;195;175;221;2;198;48;205;8;346;225;202;229,L_PoI2;R_FEF;L_p24;R_FST;L_LO1;R_p10p;L_8C;R_6a;L_MT;R_10pp;R_PH;L_VMV3;L_45,L_PFop;R_MST;L_IFJa;R_IFSa;L_MI;R_V4;L_PSL;R_V7;L_STSva;R_7AL;L_V6;R_V3B;L_VIP;R_SFL;L_3b;R_PoI1;R_7PL;R_MT;R_MIP,0.9058944186409549
79,episodic_first,52;296;152;239;89;320;81;256;21;195;196;75;100,138;292;16;306;145;325;94;218;27;300;140;225;36;230;83;328;184;337;263,L_3a;R_AIP;L_VMV1;R_p32pr;L_10pp;R_TPOJ3;L_IFSa;R_a47r;L_PIT;R_V7;R_IPS1;L_47l;L_OP1,L_TPOJ1;R_FOP1;L_IPS1;R_PHA3;L_IP0;R_IP0;L_LIPd;R_5L;L_STV;R_ProS;L_TPOJ3;R_7PL;L_5mv;R_1;L_46;R_PFm;R_V3;R_V3CD;R_46,0.8941721119638162
80,semantic_first,39;260;18;197;20;186;170;196;154;190;225;99;115,38;215;113;232;27;320;94;319;108;228;49;274;8;233;73;226;217;200;252,L_24dd;R_IFSp;L_V3B;R_FFC;L_LO2;R_V8;L_p47r;R_IPS1;L_PHA2;R_PEF;R_7PL;L_OP4;L_PFt,L_5L;R_5m;L_FOP3;R_3a;L_STV;R_TPOJ3;L_LIPd;R_TPOJ2;L_MI;R_VIP;L_MIP;R_LIPd;L_3b;R_6d;L_44;R_7PC;R_23c;R_LO2;R_8C,0.8526981792478865
81,episodic_first,12;222;109;264;11;186;91;253;65;245;325;82;16,166;294;4;319;156;274;97;302;167;291;157;269;46;235;14;234;317;268;210,L_V3A;R_SCEF;L_Pir;R_a9-46v;L_55b;R_V8;L_13l;R_44;L_47m;R_47m;R_IP0;L_p9-46v;L_IPS1,L_PoI1;R_FOP2;L_V3;R_TPOJ2;L_FST;R_LIPd;L_s6-8;R_STGa;L_Ig;R_AAIC;L_V3CD;R_10pp;L_7PC;R_6v;L_POS2;R_6mp;R_PH;R_a10p;R_POS1,0.9874114904996614
82,semantic_first,52;260;159;272;118;289;5;184;71;238;250;61;156,55;241;99;326;48;332;27;355;139;208;15;317;38;205;49;235;296;254;233,L_3a;R_IFSp;L_VMV2;R_OFC;L_PreS;R_Pir;L_V4;R_V3;L_10d;R_a24pr;R_9p;L_d32;L_FST,L_6v;R_d32;L_OP4;R_PFop;L_VIP;R_VMV1;L_STV;R_STSva;L_TPOJ2;R_7Pm;L_V7;R_PH;L_5L;R_SFL;L_MIP;R_6v;R_AIP;R_45;R_6d,0.9094602051430206
83,episodic_first,72;260;18;338;121;186;70;275;154;301;207;11;5,38;331;177;326;156;269;27;302;79;300;108;295;36;327;46;232;208;258;296,L_8C;R_IFSp;L_V3B;R_LO3;L_PeEc;R_V8;L_9p;R_6a;L_PHA2;R_PeEc;R_STV;L_55b;L_V4,L_5L;R_V6A;L_PI;R_PFop;L_FST;R_10pp;L_STV;R_STGa;L_IFJp;R_ProS;L_MI;R_PFt;L_5mv;R_PF;L_7PC;R_3a;R_7Pm;R_IFJa;R_AIP,0.9286300421366488
84,semantic_first,136;296;63;197;19;198;116;317;159;338;218;82;141,45;219;99;185;104;349;108;195;109;319;94;266;53;221;41;323;233;294;257,L_PHT;R_AIP;L_p32;R_FFC;L_LO1;R_V3B;L_AIP;R_PH;L_VMV2;R_LO3;R_5L;L_p9-46v;L_DVT,L_7PL;R_24dd;L_OP4;R_V4;L_PFcm;R_p10p;L_MI;R_V7;L_Pir;R_TPOJ2;L_LIPd;R_9a;L_6d;R_7AL;L_7AL;R_IP2;R_6d;R_FOP2;R_6r,0.8819494187309382
85,episodic_first,129;266;60;197;6;251;82;321;71;345;274;168;0,83;192;116;309;98;273;175;225;108;205;145;355;36;233;30;275;218;337;188,L_STSvp;R_9a;L_a24;R_FFC;L_V8;R_10d;L_p9-46v;R_DVT;L_10d;R_pOFC;R_LIPd;L_FOP5;L_V1,L_46;R_V3A;L_AIP;R_STSvp;L_43;R_47s;L_STSva;R_7PL;L_MI;R_SFL;L_IP0;R_STSva;L_5mv;R_6d;L_POS1;R_6a;R_5L;R_V3CD;R_3b,0.8372054745600955
86,semantic_first,144;261;159;350;93;197;67;321;117;302;207;21;98,146;349;24;208;113;358;138;286;28;295;97;195;156;327;48;235;230;336;188,L_IP1;R_IFSa;L_VMV2;R_p47r;L_47s;R_FFC;L_8Ad;R_DVT;L_EC;R_STGa;R_STV;L_PIT;L_43,L_PFop;R_p10p;L_PSL;R_7Pm;L_FOP3;R_a32pr;L_TPOJ1;R_TA2;L_7Pm;R_PFt;L_s6-8;R_V7;L_FST;R_PF;L_VIP;R_6v;R_1;R_FST;R_3b,0.9639408263740505
87,episodic_first,28;257;139;201;88;200;11;220;61;333;225;93;100,73;292;4;261;2;355;108;332;157;317;27;250;148;217;43;357;207;289;263,L_7Pm;R_6r;L_TPOJ2;R_PIT;L_a10p;R_LO2;L_55b;R_24dv;L_d32;R_VMV3;R_7PL;L_47s;L_OP1,L_44;R_FOP1;L_V3;R_IFSa;L_V6;R_STSva;L_MI;R_VMV1;L_V3CD;R_PH;L_STV;R_9p;L_PFm;R_23c;L_6ma;R_PI;R_STV;R_Pir;R_46,0.9037395887469102
88,semantic_first,52;256;159;337;75;320;136;275;21;273;325;19;25,46;192;4;300;167;274;27;221;2;357;48;266;156;253;50;233;257;350;188,L_3a;R_a47r;L_VMV2;R_V3CD;L_47l;R_TPOJ3;L_PHT;R_6a;L_PIT;R_47s;R_IP0;L_LO1;L_SFL,L_7PC;R_V3A;L_V3;R_ProS;L_Ig;R_LIPd;L_STV;R_7AL;L_V6;R_PI;L_VIP;R_9a;L_FST;R_44;L_1;R_6d;R_6r;R_p47r;R_3b,0.94521408249543
89,episodic_first,39;278;140;201;65;190;81;325;165;298;207;90;137,80;294;104;300;79;347;101;266;146;269;144;198;156;285;166;252;317;181;257,L_24dd;R_43;L_TPOJ3;R_PIT;L_47m;R_PEF;L_IFSa;R_IP0;L_pOFC;R_PreS;R_STV;L_11l;L_PH,L_IFSp;R_FOP2;L_PFcm;R_ProS;L_IFJp;R_Ig;L_OP2-3;R_9a;L_PFop;R_10pp;L_IP1;R_V3B;L_FST;R_PoI2;L_PoI1;R_8C;R_PH;R_MST;R_6r,0.8419014830941526
90,semantic_first,39;221;179;201;61;198;84;230;19;269;225;88;112,55;320;99;266;145;317;27;357;79;251;139;293;30;232;166;224;256;200;263,L_24dd;R_7AL;L_p24;R_PIT;L_d32;R_V3B;L_a9-46v;R_1;L_LO1;R_10pp;R_7PL;L_a10p;L_FOP1,L_6v;R_TPOJ3;L_OP4;R_9a;L_IP0;R_PH;L_STV;R_PI;L_IFJp;R_10d;L_TPOJ2;R_FOP3;L_POS1;R_3a;L_PoI1;R_7Am;R_a47r;R_LO2;R_46,0.8343420531978117
91,episodic_first,3;250;152;239;20;320;85;229;93;259;331;82;78,36;284;104;232;146;251;15;208;139;261;80;273;25;319;54;323;288;271;257,L_V2;R_9p;L_VMV1;R_p32pr;L_LO2;R_TPOJ3;L_9-46d;R_MIP;L_47s;R_IFJp;R_V6A;L_p9-46v;L_IFJa,L_5mv;R_PFcm;L_PFcm;R_3a;L_PFop;R_10d;L_V7;R_7Pm;L_TPOJ2;R_IFSa;L_IFSp;R_47s;L_SFL;R_TPOJ2;L_6mp;R_IP2;R_MI;R_13l;R_6r,0.9533612463562943
92,semantic_first,39;222;159;245;154;268;69;288;121;306;227;116;169,48;289;16;218;5;274;175;331;157;295;12;229;137;285;43;232;252;202;275,L_24dd;R_SCEF;L_VMV2;R_47m;L_PHA2;R_a10p;L_8BL;R_MI;L_PeEc;R_PHA3;R_LIPv;L_AIP;L_p10p,L_VIP;R_Pir;L_IPS1;R_5L;L_V4;R_LIPd;L_STSva;R_V6A;L_V3CD;R_PFt;L_V3A;R_MIP;L_PH;R_PoI2;L_6ma;R_3a;R_8C;R_MT;R_6a,0.9278566959450598
93,episodic_first,136;263;169;272;82;199;11;220;19;238;274;20;104,27;284;156;225;5;331;139;198;86;205;140;250;128;252;52;285;323;241;256,L_PHT;R_46;L_p10p;R_OFC;L_p9-46v;R_LO1;L_55b;R_24dv;L_LO1;R_a24pr;R_LIPd;L_LO2;L_PFcm,L_STV;R_PFcm;L_FST;R_7PL;L_V4;R_V6A;L_TPOJ2;R_V3B;L_9a;R_SFL;L_TPOJ3;R_9p;L_STSdp;R_8C;L_3a;R_PoI2;R_IP2;R_d32;R_a47r,0.8917240668602333
94,semantic_first,5;260;97;197;1;264;111;253;121;238;250;93;99,77;287;91;195;94;225;109;309;49;323;28;273;50;308;52;205;227;241;208,L_V4;R_IFSp;L_s6-8;R_FFC;L_MST;R_a9-46v;L_AAIC;R_44;L_PeEc;R_a24pr;R_9p;L_47s;L_OP4,L_6r;R_FOP4;L_13l;R_V7;L_LIPd;R_7PL;L_Pir;R_STSvp;L_MIP;R_IP2;L_7Pm;R_47s;L_1;R_STSdp;L_3a;R_SFL;R_LIPv;R_d32;R_7Pm,0.9052658725442043
95,episodic_first,39;189;157;359;81;332;52;254;60;236;331;22;115,175;284;38;326;151;339;179;269;158;207;45;325;129;226;166;205;227;320;217,L_24dd;R_FEF;L_V3CD;R_p24;L_IFSa;R_VMV1;L_3a;R_45;L_a24;R_p24pr;R_V6A;L_MT;L_PFt,L_STSva;R_PFcm;L_5L;R_PFop;L_V6A;R_VMV2;L_p24;R_10pp;L_LO3;R_STV;L_7PL;R_IP0;L_STSvp;R_7PC;L_PoI1;R_SFL;R_LIPv;R_TPOJ3;R_23c,1.0352512116879173
96,semantic_first,128;222;179;238;84;186;70;288;159;273;278;88;25,108;254;115;195;38;274;97;331;79;326;146;251;107;234;3;233;189;202;208,L_STSdp;R_SCEF;L_p24;R_a24pr;L_a9-46v;R_V8;L_9p;R_MI;L_VMV2;R_47s;R_43;L_a10p;L_SFL,L_MI;R_45;L_PFt;R_V7;L_5L;R_LIPd;L_s6-8;R_V6A;L_IFJp;R_PFop;L_PFop;R_10d;L_FOP4;R_6mp;L_V2;R_6d;R_FEF;R_MT;R_7Pm,0.9294154848299288
97,episodic_first,83;252;35;305;65;201;71;349;165;195;274;88;116,28;215;113;221;100;355;97;323;109;235;105;196;8;208;46;233;253;192;317,L_46;R_8C;L_5m;R_PHA1;L_47m;R_PIT;L_10d;R_p10p;L_pOFC;R_V7;R_LIPd;L_a10p;L_AIP,L_7Pm;R_5m;L_FOP3;R_7AL;L_OP1;R_STSva;L_s6-8;R_IP2;L_Pir;R_6v;L_PoI2;R_IPS1;L_3b;R_7Pm;L_7PC;R_6d;R_44;R_V3A;R_PH,0.9725473461821788
98,semantic_first,166;222;164;272;19;349;40;205;162;195;207;153;47,48;336;91;221;169;358;179;286;151;185;109;250;74;346;147;253;257;220;189,L_PoI1;R_SCEF;L_s32;R_OFC;L_LO1;R_p10p;L_24dv;R_SFL;L_VVC;R_V7;R_STV;L_VMV3;L_LIPv,L_VIP;R_FST;L_13l;R_7AL;L_p10p;R_a32pr;L_p24;R_TA2;L_V6A;R_V4;L_Pir;R_9p;L_45;R_PoI1;L_PF;R_44;R_6r;R_24dv;R_FEF,0.9674976036011957
99,episodic_first,3;222;63;251;61;320;81;237;155;245;326;11;112,138;202;100;185;101;218;151;331;139;357;59;293;41;208;54;327;196;272;221,L_V2;R_SCEF;L_p32;R_10d;L_d32;R_TPOJ3;L_IFSa;R_33pr;L_V4t;R_47m;R_PFop;L_55b;L_FOP1,L_TPOJ1;R_MT;L_OP1;R_V4;L_OP2-3;R_5L;L_V6A;R_V6A;L_TPOJ2;R_PI;L_p32pr;R_FOP3;L_7AL;R_7Pm;L_6mp;R_PF;R_IPS1;R_OFC;R_7AL,0.983042116356487
100,semantic_first,141;250;169;289;75;337;52;288;118;190;331;116;38,80;358;5;225;156;271;140;295;109;319;2;326;4;252;54;226;208;183;221,L_DVT;R_9p;L_p10p;R_Pir;L_47l;R_V3CD;L_3a;R_MI;L_PreS;R_PEF;R_V6A;L_AIP;L_5L,L_IFSp;R_a32pr;L_V4;R_7PL;L_FST;R_13l;L_TPOJ3;R_PFt;L_Pir;R_TPOJ2;L_V6;R_PFop;L_V3;R_8C;L_6mp;R_7PC;R_7Pm;R_V2;R_7AL,0.9637457241055427
101,episodic_first,28;250;58;336;89;190;69;256;153;269;207;118;16,36;202;137;355;143;195;94;300;48;235;151;326;54;234;9;346;321;241;257,L_7Pm;R_9p;L_a24pr;R_FST;L_10pp;R_PEF;L_8BL;R_a47r;L_VMV3;R_10pp;R_STV;L_PreS;L_IPS1,L_5mv;R_MT;L_PH;R_STSva;L_IP2;R_V7;L_LIPd;R_ProS;L_VIP;R_6v;L_V6A;R_PFop;L_6mp;R_6mp;L_FEF;R_PoI1;R_DVT;R_d32;R_6r,0.9235755256639948
